Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,269.609985,271.839996,269.600006,271.600006,264.750031,16725300
2021-07-02,272.820007,278.000000,272.500000,277.649994,270.647400,26458000
2021-07-06,278.029999,279.369995,274.299988,277.660004,270.657135,31565600
2021-07-07,279.399994,280.690002,277.149994,279.929993,272.869904,23260000
2021-07-08,276.899994,278.730011,274.869995,277.420013,270.423218,24618600
2021-07-09,275.720001,278.049988,275.320007,277.940002,270.930115,23916700
2021-07-12,279.160004,279.769989,276.579987,277.320007,270.325775,18931700
2021-07-13,277.519989,282.850006,277.390015,280.980011,273.893494,26120100
2021-07-14,282.350006,283.660004,280.549988,282.510010,275.384796,23113700
2021-07-15,282.000000,282.510010,279.829987,281.029999,273.942230,22604200
2021-07-16,282.070007,284.100006,279.459991,280.750000,273.669220,26186800
2021-07-19,278.929993,280.369995,274.450012,277.010010,270.023560,32935600
2021-07-20,278.029999,280.970001,276.260010,279.320007,272.275330,26259700
2021-07-21,278.899994,281.519989,277.290009,281.399994,274.302795,24364300
2021-07-22,283.839996,286.420013,283.420013,286.140015,278.923309,23384100
2021-07-23,287.369995,289.989990,286.500000,289.670013,282.364258,22768100
2021-07-26,289.000000,289.690002,286.640015,289.049988,281.759888,23176100
2021-07-27,289.429993,289.579987,282.950012,286.540009,279.313263,33604100
2021-07-28,288.989990,290.149994,283.829987,286.220001,279.001251,33566900
2021-07-29,286.239990,288.619995,286.079987,286.500000,279.274200,18168300
2021-07-30,285.170013,286.660004,283.910004,284.910004,277.724274,20944800
2021-08-02,286.359985,286.769989,283.739990,284.820007,277.636536,16267400
2021-08-03,285.420013,287.230011,284.000000,287.119995,279.878540,17879000
2021-08-04,286.220001,287.589996,284.649994,286.510010,279.283966,16191300
2021-08-05,286.880005,289.630005,286.100006,289.519989,282.218018,13900200
2021-08-06,288.510010,289.500000,287.619995,289.459991,282.159485,16589300
2021-08-09,289.750000,291.549988,287.809998,288.329987,281.058044,16117600
2021-08-10,288.799988,289.250000,285.200012,286.440002,279.215729,18616600
2021-08-11,287.209991,288.660004,285.859985,286.950012,279.712860,13955900
2021-08-12,286.630005,289.970001,286.339996,289.809998,282.500763,14561300
2021-08-13,289.480011,292.899994,289.299988,292.850006,285.464081,18249000
2021-08-16,293.190002,294.820007,290.019989,294.600006,287.169922,22507600
2021-08-17,292.390015,293.429993,291.079987,293.079987,285.688263,20075300
2021-08-18,292.040009,294.820007,290.269989,290.730011,283.940125,21813000
2021-08-19,288.690002,297.470001,288.640015,296.769989,289.838989,29850500
2021-08-20,299.720001,305.839996,298.059998,304.359985,297.251709,40817600
2021-08-23,303.250000,305.399994,301.850006,304.649994,297.534973,22830200
2021-08-24,305.019989,305.649994,302.000000,302.619995,295.552399,18175800
2021-08-25,304.299988,304.589996,300.420013,302.010010,294.956635,20006100
2021-08-26,300.989990,302.429993,298.950012,299.089996,292.104828,17666100
2021-08-27,298.989990,300.869995,296.829987,299.720001,292.720154,22605700
2021-08-30,301.119995,304.220001,301.059998,303.589996,296.499725,16348100
2021-08-31,304.420013,304.500000,301.500000,301.880005,294.829651,26285300
2021-09-01,302.869995,305.190002,301.489990,301.829987,294.780731,18983800
2021-09-02,302.200012,303.359985,300.179993,301.149994,294.116730,16285600
2021-09-03,300.989990,302.600006,300.260010,301.140015,294.106964,14747900
2021-09-07,301.010010,301.089996,298.200012,300.179993,293.169342,17180400
2021-09-08,299.779999,300.609985,297.470001,300.209991,293.198608,15046800
2021-09-09,300.820007,302.140015,297.000000,297.250000,290.307800,19927000
2021-09-10,298.420013,299.920013,295.380005,295.709991,288.803711,19633400
2021-09-13,297.549988,298.540009,294.079987,296.989990,290.053864,23652900
2021-09-14,299.559998,301.390015,298.100006,299.790009,292.788483,21853400
2021-09-15,303.260010,305.320007,301.820007,304.820007,297.700989,28356300
2021-09-16,303.760010,305.309998,300.760010,305.220001,298.091705,19550800
2021-09-17,304.170013,304.500000,299.529999,299.869995,292.866577,41372500
2021-09-20,296.329987,298.720001,289.519989,294.299988,287.426666,38278700
2021-09-21,295.690002,297.540009,294.070007,294.799988,287.914978,22364100
2021-09-22,296.730011,300.220001,294.510010,298.579987,291.606720,26626300
2021-09-23,298.850006,300.899994,297.529999,299.559998,292.563843,18604600
2021-09-24,298.230011,299.799988,296.929993,299.350006,292.358704,14999000
2021-09-27,296.140015,296.470001,292.940002,294.170013,287.299744,23571700
2021-09-28,289.799988,290.779999,282.750000,283.519989,276.898438,43186200
2021-09-29,285.100006,286.769989,283.010010,284.000000,277.367249,26353700
2021-09-30,285.709991,287.829987,281.619995,281.920013,275.335785,32343600
2021-10-01,282.119995,289.980011,281.290009,289.100006,282.348114,30086300
2021-10-04,287.399994,287.750000,280.250000,283.109985,276.497986,31350700
2021-10-05,284.049988,290.399994,284.049988,288.760010,282.016052,24993000
2021-10-06,285.779999,293.630005,285.510010,293.109985,286.264465,28002600
2021-10-07,295.179993,296.640015,293.920013,294.850006,287.963867,20430500
2021-10-08,296.220001,296.640015,293.760010,294.850006,287.963867,17685700
2021-10-11,292.920013,297.970001,292.750000,294.230011,287.358398,19298600
2021-10-12,295.339996,295.440002,292.350006,292.880005,286.039856,17974100
2021-10-13,294.910004,297.279999,293.489990,296.309998,289.389740,23416300
