Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2/10/2023 00:03,BTC/USD,21780.99,21805.98,21780.99,21805.98,0.11694822,2550.170546
2/10/2023 00:04,BTC/USD,21805.98,21823.89,21805.98,21823.89,0.00228649,49.90010625
2/10/2023 00:05,BTC/USD,21823.89,21823.89,21797.77,21797.77,0.05935671,1293.843913
2/10/2023 00:06,BTC/USD,21797.77,21842.49,21797.77,21842.49,0.05197051,1135.165345
2/10/2023 00:07,BTC/USD,21842.49,21842.49,21842.49,21842.49,0,0
2/10/2023 00:08,BTC/USD,21842.49,21855.01,21842.49,21855.01,0.04517984,987.405855
2/10/2023 00:09,BTC/USD,21855.01,21855.01,21839.32,21844.05,1.05396126,23022.78246
2/10/2023 00:10,BTC/USD,21844.05,21858.49,21844.05,21858.49,0.02246465,491.0433274
2/10/2023 00:11,BTC/USD,21858.49,21858.49,21842.26,21842.26,0.00577153,126.0632589
2/10/2023 00:12,BTC/USD,21842.26,21856.36,21842.26,21856.36,0.14711614,3215.423318
2/10/2023 00:13,BTC/USD,21856.36,21857,21856.36,21856.36,0.00140781,30.76960217
2/10/2023 00:14,BTC/USD,21856.36,21870.91,21856.36,21870.91,0.04910092,1073.881802
2/10/2023 00:15,BTC/USD,21870.91,21870.91,21856.36,21856.36,0.00834353,182.3591954
2/10/2023 00:16,BTC/USD,21856.36,21856.36,21848.14,21849.37,0.00466246,101.8718137
2/10/2023 00:17,BTC/USD,21849.37,21856.76,21844.83,21847.94,1.1254716,24589.23599
2/10/2023 00:18,BTC/USD,21847.94,21867.99,21847.94,21867.99,0.00381904,83.51472853
2/10/2023 00:19,BTC/USD,21867.99,21867.99,21851.99,21854.15,0.0222831,486.9782099
2/10/2023 00:20,BTC/USD,21854.15,21854.15,21847.29,21848.43,0.00536066,117.1220048
2/10/2023 00:21,BTC/USD,21848.43,21848.43,21834.96,21834.96,0.04529893,989.1003246
2/10/2023 00:22,BTC/USD,21834.96,21845.64,21832.97,21838.91,0.57441561,12544.61081
2/10/2023 00:23,BTC/USD,21838.91,21839.54,21832.04,21835.87,0.34107937,7447.764783
2/10/2023 00:24,BTC/USD,21835.87,21843.2,21835.87,21837.45,0.14173301,3095.087519
2/10/2023 00:25,BTC/USD,21837.45,21865.12,21837.45,21858.88,0.86337425,18872.39413
2/10/2023 00:26,BTC/USD,21858.88,21859.32,21853.41,21854.62,0.39969195,8735.115684
2/10/2023 00:27,BTC/USD,21854.62,21854.62,21846.12,21846.12,0.11213222,2449.653934
2/10/2023 00:28,BTC/USD,21846.12,21862.68,21846.12,21860.93,0.01533628,335.2653435
2/10/2023 00:29,BTC/USD,21860.93,21860.93,21842.32,21842.32,0.18434896,4026.608976
2/10/2023 00:30,BTC/USD,21842.32,21842.32,21842.32,21842.32,0,0
2/10/2023 00:31,BTC/USD,21842.32,21849.33,21833.89,21833.89,0.17670775,3858.217576
2/10/2023 00:32,BTC/USD,21833.89,21833.89,21820,21820.01,0.60605076,13224.03364
2/10/2023 00:33,BTC/USD,21820.01,21823.41,21820,21820.01,0.86174792,18803.34823
2/10/2023 00:34,BTC/USD,21820.01,21842.35,21820.01,21842.35,0.00915765,200.0245965
2/10/2023 00:35,BTC/USD,21842.35,21842.35,21842.35,21842.35,0,0
2/10/2023 00:36,BTC/USD,21842.35,21842.35,21842.35,21842.35,0,0
2/10/2023 00:37,BTC/USD,21842.35,21873.54,21842.35,21873.54,0.01610401,352.2517069
2/10/2023 00:38,BTC/USD,21873.54,21878.73,21873.54,21878.73,0.02491225,545.0483914
2/10/2023 00:39,BTC/USD,21878.73,21889.3,21878.73,21884.62,0.0130338,285.2397602
2/10/2023 00:40,BTC/USD,21884.62,21884.62,21877.67,21877.67,1.76E-05,0.385484545
2/10/2023 00:41,BTC/USD,21877.67,21877.67,21866.86,21866.86,8.64E-05,1.889515373
